s_id,sex,age_2017,w_id,stimulus,translation_en,translation_ru,stimulus_source,class
3,f,39,27,ts'iq'u,hoar frost,иней,native,b
3,f,39,29,hark'u,eye,глаз,native,b
3,f,39,30,rekun,thread,нитка,native,r
3,f,39,31,kredit,сredit,кредит,loan,b
3,f,39,32,roʃon,rope,веревка,native,r
3,f,39,33,ɡurdo,shirt,рубашка,native,r
3,f,39,34,ɬol,horseshoe,подкова,native,r
3,f,39,35,tatʃka,wheelbarrow,тачка,loan,r
3,f,39,36,pult,remote control,пульт,loan,b
3,f,39,37,telefon,telephon,телефон,loan,r
3,f,39,38,arkom,spoon,ложка,native,b
3,f,39,40,zaʒiɡalka,lighter,зажигалка,loan,b
3,f,39,41,sputnʲik,satellite,спутник,loan,b
3,f,39,42,zar,ice,лед,native,r
3,f,39,43,bil,mountain,гора,native,b
3,f,39,44,provod,wire,провод,loan,r
3,f,39,46,tɬ'ir,bridge,мост,native,b
3,f,39,47,salfʲetka,napkin,салфетка,loan,r
3,f,39,48,awʔara,hat,шапка,native,b
3,f,39,49,aptsʲeka,pharmacy,аптека,loan,b
3,f,39,51,ts'umur,fork,вилка,native,b
3,f,39,52,ħetʃ'ink'a,maize,кукуруза,native,r
3,f,39,53,anzi,snow,снег,native,r
3,f,39,55,bint,bandage,бинт,loan,b
3,f,39,56,hints'u,door,дверь,native,r
3,f,39,57,rok'o,heart,сердце,native,r
3,f,39,59,enʃːur,flour,мука,native,r
3,f,39,60,kolʲaska,perambulator,коляска,loan,r
3,f,39,61,planʲeta,planet,планета,loan,b
3,f,39,62,romaʃka,camomile,ромашка,loan,r
3,f,39,63,tarif,tariff,тариф,loan,b
3,f,39,64,antena,antenna,антенна,loan,r
3,f,39,65,maʃina,car,машина,loan,b
3,f,39,66,inχi,river,река,native,b
3,f,39,67,moʁortʃ'u,tail,хвост,native,b
3,f,39,68,nitʃo,scythe,коса,native,b
3,f,39,69,dʒinsɨ,jeans,джинсы,loan,r
3,f,39,70,ɡol,goal,гол,loan,r
3,f,39,71,kometa,comet,комета,loan,b
3,f,39,72,lift,lift,лифт,loan,b
3,f,39,73,mijar,head,голова,native,r
3,f,39,75,plastɨrʲ,plaster,пластырь,loan,b
3,f,39,76,zarʲadka,charging,зарядка,loan,b
3,f,39,77,banan,banana,банан,loan,b
3,f,39,78,ts'ːa,star,звезда,native,r
3,f,39,79,hunts'ːi,honey,мед,native,r
3,f,39,80,linʲejka,ruler,линейка,loan,r
3,f,39,81,intʃi,apple,яблоко,native,b
3,f,39,82,sol,tooth,зуб,native,r
3,f,39,83,sumka,bag,сумка,loan,b
3,f,39,84,radio,radio,радио,loan,b
3,f,39,85,reʃa,tree,дерево,native,r
